,Rank,Player,PPG,Season
222,223.,Patrick Ewing*,26.59,1990-91
223,224.,Adrian Dantley*,26.58,1984-85
224,225.,Devin Booker,26.56,2018-19
225,226.,Dwyane Wade,26.56,2009-10
226,227.,Shaquille O'Neal*,26.56,1995-96
227,,Dirk Nowitzki,26.56,2005-06
228,229.,Michael Adams,26.55,1990-91
229,230.,Bob McAdoo*,26.54,1977-78
230,231.,Chris Mullin*,26.54,1988-89
231,232.,Carmelo Anthony,26.52,2005-06
232,233.,Alex English*,26.52,1988-89
233,234.,Kelly Tripucka,26.48,1982-83
234,235.,Tiny Archibald*,26.46,1974-75
235,236.,Paul Arizin*,26.44,1958-59
236,237.,Ray Allen*,26.44,2006-07
237,238.,Alex English*,26.43,1983-84
238,239.,LeBron James,26.41,2016-17
239,240.,Allen Iverson*,26.39,2007-08
240,241.,Kevin Durant,26.35,2017-18
241,242.,Bernard King*,26.32,1983-84
242,243.,Shaquille O'Neal*,26.31,1998-99
243,244.,Allen Iverson*,26.29,2006-07
244,245.,Kareem Abdul-Jabbar*,26.24,1976-77
245,246.,Dominique Wilkins*,26.24,1988-89
246,247.,Spencer Haywood*,26.22,1971-72
247,248.,George Gervin*,26.19,1982-83
248,249.,Kareem Abdul-Jabbar*,26.19,1980-81
249,250.,Devin Booker,26.17,2019-20
